92, 193
70, 123
165, 256
90, 117
125, 212
89, 144
20, 207
31, 125
81, 231
30, 193
46, 77
142, 212
21, 144
27, 127
6, 167
148, 150
125, 137
138, 150
113, 246
100, 193
40, 151
130, 137
73, 163
99, 106
92, 151
19, 120
49, 86
177, 207
245, 248
80, 85
21, 182
120, 213
27, 175
40, 96
106, 110
40, 117
59, 84
22, 68
51, 70
16, 80
35, 134
25, 109
120, 147
59, 152
99, 165
40, 81
10, 237
40, 56
108, 119
155, 262
70, 113
29, 190
17, 159
102, 109
116, 123
65, 113
17, 202
74, 187
154, 183
40, 146
2, 193
229, 263
21, 82
73, 127
31, 196
24, 84
10, 106
44, 137
40, 155
22, 195
166, 193
114, 154
17, 171
32, 36
34, 141
6, 159
69, 242
99, 158
86, 96
103, 201
77, 89
22, 245
85, 142
20, 141
168, 242
201, 202
160, 215
13, 20
33, 166
75, 82
150, 210
10, 104
109, 219
60, 89
109, 147
103, 150
9, 106
150, 204
81, 106
81, 155
