26, 161
19, 69
170, 190
85, 137
141, 251
95, 174
54, 139
129, 215
125, 157
92, 138
24, 31
19, 169
26, 60
58, 171
65, 138
60, 61
151, 240
141, 199
109, 143
54, 226
183, 230
17, 219
48, 170
3, 17
73, 118
74, 191
107, 207
103, 189
148, 226
176, 258
30, 239
99, 213
16, 24
120, 232
49, 150
83, 200
30, 118
26, 192
114, 115
82, 225
111, 222
131, 207
132, 220
41, 65
69, 195
116, 127
39, 122
23, 248
136, 218
28, 177
139, 237
167, 243
67, 118
123, 248
121, 134
104, 262
5, 258
117, 238
138, 158
3, 78
14, 152
148, 230
92, 217
122, 231
7, 212
84, 206
79, 261
54, 204
43, 167
30, 64
18, 43
149, 255
151, 179
85, 125
60, 149
20, 163
167, 217
90, 122
36, 75
43, 171
119, 207
68, 197
21, 175
76, 100
66, 94
83, 170
140, 225
125, 161
2, 206
143, 211
73, 217
37, 209
136, 177
8, 120
130, 216
85, 169
188, 227
93, 237
154, 230
56, 130
