8, 32, 0.2
14, 34, 0.19
66, 80, 0.19
92, 107, 0.17
96, 103, 0.2
151, 159, 0.13
176, 188, 0.2
177, 194, 0.17
179, 191, 0.19
196, 206, 0.19
215, 217, 0.2
221, 223, 0.11
223, 230, 0.2
230, 238, 0.19
253, 257, 0.19
152, 162, 0.2
76, 83, 0.2
71, 75, 0.2
228, 231, 0.13
131, 135, 0.2
15, 38, 0.19
2, 18, 0.2
213, 216, 0.17
11, 36, 0.2
230, 236, 0.2
50, 53, 0.2
219, 227, 0.19
103, 104, 0.2
174, 182, 0.19
12, 30, 0.2
232, 239, 0.2
256, 258, 0.19
52, 55, 0.15
245, 249, 0.17
23, 33, 0.2
16, 32, 0.15
240, 255, 0.17
45, 56, 0.17
4, 37, 0.19
240, 262, 0.19
172, 188, 0.17
54, 63, 0.17
171, 190, 0.19
119, 136, 0.19
97, 108, 0.19
187, 191, 0.19
132, 142, 0.19
41, 48, 0.2
204, 205, 0.2
234, 237, 0.13
214, 224, 0.2
226, 235, 0.19
139, 145, 0.17
13, 19, 0.13
153, 169, 0.2
200, 205, 0.2
152, 165, 0.2
25, 33, 0.2
43, 61, 0.13
42, 45, 0.19
7, 14, 0.19
243, 264, 0.19
229, 232, 0.11
26, 30, 0.2
10, 28, 0.13
110, 112, 0.19
244, 263, 0.15
248, 266, 0.13
254, 265, 0.2
241, 261, 0.2
241, 253, 0.13
213, 228, 0.15
67, 82, 0.2
220, 227, 0.19
243, 267, 0.15
122, 127, 0.13
1, 5, 0.2
116, 133, 0.2
46, 60, 0.13
98, 112, 0.19
173, 194, 0.2
214, 233, 0.2
161, 163, 0.17
181, 195, 0.19
47, 58, 0.17
97, 101, 0.19
1, 39, 0.2
180, 186, 0.2
154, 160, 0.17
90, 114, 0.17
170, 192, 0.2
115, 146, 0.2
124, 138, 0.19
94, 105, 0.17
64, 87, 0.2
221, 226, 0.13
250, 264, 0.2
172, 175, 0.2
118, 148, 0.2
178, 190, 0.19
126, 135, 0.19
153, 164, 0.2
68, 88, 0.2
156, 157, 0.2
119, 130, 0.2
53, 58, 0.2
3, 5, 0.2
211, 218, 0.2
51, 63, 0.17
91, 105, 0.2
252, 265, 0.2
93, 111, 0.2
184, 192, 0.13
6, 9, 0.2
251, 260, 0.19
208, 209, 0.2
76, 87, 0.17
197, 209, 0.2
198, 210, 0.17
247, 258, 0.11
117, 134, 0.19
251, 259, 0.2
57, 62, 0.15
225, 226, 0.15
211, 222, 0.2
4, 38, 0.2
72, 79, 0.2
245, 248, 0.13
40, 56, 0.17
20, 24, 0.19
49, 63, 0.2
73, 80, 0.2
18, 35, 0.2
74, 75, 0.2
185, 191, 0.2
106, 107, 0.17
129, 144, 0.19
131, 147, 0.19
140, 143, 0.15
9, 13, 0.13
212, 217, 0.2
125, 132, 0.17
65, 86, 0.19
148, 149, 0.19
137, 145, 0.2
78, 86, 0.2
43, 59, 0.13
203, 207, 0.2
20, 27, 0.2
11, 29, 0.2
115, 121, 0.19
74, 84, 0.19
122, 123, 0.2
196, 199, 0.2
4, 17, 0.19
110, 113, 0.19
90, 109, 0.19
10, 22, 0.2
99, 102, 0.2
120, 141, 0.15
95, 100, 0.2
16, 21, 0.2
242, 259, 0.2
183, 186, 0.2
157, 168, 0.19
44, 48, 0.17
77, 82, 0.2
46, 55, 0.11
116, 128, 0.19
246, 258, 0.19
165, 167, 0.13
174, 189, 0.17
89, 108, 0.19
226, 230, 0.13
162, 165, 0.2
242, 251, 0.15
50, 58, 0.2
223, 236, 0.17
12, 26, 0.2
252, 254, 0.2
96, 104, 0.2
212, 215, 0.2
224, 233, 0.2
71, 74, 0.2
23, 25, 0.19
2, 35, 0.17
29, 36, 0.19
218, 222, 0.19
180, 183, 0.2
1, 3, 0.19
197, 208, 0.19
185, 187, 0.15
5, 39, 0.19
200, 204, 0.19
179, 185, 0.11
67, 77, 0.2
246, 256, 0.13
243, 250, 0.2
164, 169, 0.2
65, 78, 0.19
259, 260, 0.2
17, 38, 0.2
135, 147, 0.17
75, 84, 0.2
4, 15, 0.19
126, 131, 0.17
37, 38, 0.19
156, 168, 0.19
118, 149, 0.17
98, 110, 0.2
128, 133, 0.19
112, 113, 0.2
121, 146, 0.19
236, 238, 0.19
3, 39, 0.19
179, 187, 0.13
223, 238, 0.19
130, 136, 0.19
24, 27, 0.19
199, 206, 0.2
101, 108, 0.19
66, 73, 0.2
242, 260, 0.2
17, 37, 0.2
71, 84, 0.2
49, 51, 0.2
7, 34, 0.2
171, 178, 0.17
219, 220, 0.2
89, 97, 0.19
172, 176, 0.2
175, 188, 0.19
49, 54, 0.15
225, 235, 0.13
150, 153, 0.11
15, 37, 0.19
91, 94, 0.19
15, 17, 0.2
126, 147, 0.19
47, 53, 0.17
175, 176, 0.17
42, 56, 0.15
98, 113, 0.17
83, 87, 0.2
173, 177, 0.17
64, 76, 0.17
137, 139, 0.2
41, 44, 0.17
89, 101, 0.17
216, 228, 0.2
47, 50, 0.11
182, 189, 0.19
109, 114, 0.2
64, 83, 0.17
125, 142, 0.17
