0	259, 260, 242, 251
1	68, 88, 81
2	72, 79, 70
3	25, 33, 23
4	170, 184, 192
5	67, 82, 77
6	230, 236, 238, 223
7	1, 39, 5, 3
8	26, 30, 12
9	211, 218, 222
10	216, 228, 213, 231
11	51, 54, 49, 63
12	66, 73, 80
13	53, 58, 50, 47
14	180, 186, 183
15	257, 261, 241, 253
16	212, 217, 215
17	172, 175, 176, 188
18	203, 207
19	41, 48, 44
20	17, 37, 38, 15, 4
21	219, 220, 227
22	11, 29, 36
23	185, 191, 187, 179
24	137, 139, 145
25	173, 194, 177
26	64, 87, 83, 76
27	119, 130, 136
28	2, 18, 35
29	199, 206, 196
30	118, 148, 149
31	98, 110, 112, 113
32	197, 209, 208
33	115, 146, 121
34	131, 135, 126, 147
35	122, 123, 127
36	151, 166, 159
37	158, 163, 161
38	254, 265, 252
39	71, 74, 75, 84
40	202, 204, 205, 200
41	250, 264, 243, 267
42	59, 61, 43
43	164, 169, 153
44	93, 111
45	99, 102
46	20, 27, 24
47	95, 100
48	155, 167
49	7, 34, 31, 14
50	8, 32, 16, 21
51	224, 233, 214
52	69, 85
53	103, 104, 96
54	52, 60, 46, 55
55	232, 239, 229
56	91, 105, 94
57	152, 165, 162
58	116, 133, 128
59	78, 86, 65
60	6, 9, 19, 13
61	10, 22, 28
62	156, 157, 168
63	109, 114, 90
64	174, 182, 189
65	89, 97, 108, 101
66	178, 190, 171
67	181, 195, 193
68	248, 249, 245, 266
69	132, 142, 125
70	255, 262, 240
71	246, 258, 256, 247
72	226, 235, 225, 221
73	40, 45, 56, 42
74	124, 138
75	129, 144
76	117, 134
77	198, 210, 201
78	106, 107, 92
79	154, 160, 150
80	57, 62
81	140, 143
82	244, 263
83	120, 141
84	234, 237
