0	164, 169, 153
1	53, 58, 50, 47
2	81, 88, 68
3	223, 230, 238, 236
4	77, 82, 67
5	158, 163, 161
6	83, 87, 64, 76
7	49, 51, 63, 54
8	152, 162, 165
9	71, 75, 74, 84
10	59, 61, 43
11	52, 60, 46, 55
12	26, 30, 12
13	185, 191, 187, 179
14	252, 265, 254
15	23, 33, 25
16	20, 27, 24
17	137, 145, 139
18	8, 16, 32, 21
19	116, 133, 128
20	251, 259, 260, 242
21	214, 224, 233
22	156, 157, 168
23	173, 194, 177
24	95, 100
25	203, 207
26	72, 79, 70
27	212, 217, 215
28	31, 34, 7, 14
29	11, 36, 29
30	253, 261, 257, 241
31	103, 104, 96
32	151, 166, 159
33	115, 146, 121
34	2, 18, 35
35	170, 184, 192
36	98, 110, 112, 113
37	176, 188, 172, 175
38	131, 135, 126, 147
39	93, 111
40	183, 186, 180
41	219, 220, 227
42	4, 38, 17, 37, 15
43	204, 205, 202, 200
44	197, 209, 208
45	119, 130, 136
46	109, 114, 90
47	232, 239, 229
48	1, 39, 5, 3
49	73, 80, 66
50	10, 22, 28
51	69, 85
52	211, 222, 218
53	122, 123, 127
54	41, 48, 44
55	243, 250, 264, 267
56	199, 206, 196
57	78, 86, 65
58	216, 228, 213, 231
59	91, 105, 94
60	118, 148, 149
61	155, 167
62	99, 102
63	6, 9, 19, 13
64	256, 258, 246, 247
65	255, 262, 240
66	42, 45, 40, 56
67	193, 195, 181
68	226, 235, 225, 221
69	182, 189, 174
70	178, 190, 171
71	132, 142, 125
72	129, 144
73	89, 108, 97, 101
74	117, 134
75	248, 249, 245, 266
76	124, 138
77	154, 160, 150
78	201, 210, 198
79	106, 107, 92
80	57, 62
81	140, 143
82	244, 263
83	120, 141
84	234, 237
