0	196, 199, 206
1	49, 63, 51, 54
2	96, 103, 104
3	164, 169, 153
4	211, 218, 222
5	3, 5, 1, 39
6	155, 167
7	81, 88, 68
8	71, 74, 75, 84
9	152, 162, 165
10	137, 139, 145
11	83, 87, 76, 64
12	23, 33, 25
13	185, 191, 187, 179
14	253, 261, 257, 241
15	202, 205, 204, 200
16	50, 58, 53, 47
17	158, 163, 161
18	122, 123, 127
19	183, 186, 180
20	232, 239, 229
21	2, 18, 35
22	70, 72, 79
23	17, 37, 15, 38, 4
24	242, 259, 260, 251
25	78, 86, 65
26	73, 80, 66
27	156, 157, 168
28	116, 133, 128
29	212, 217, 215
30	77, 82, 67
31	203, 207
32	109, 114, 90
33	93, 111
34	31, 34, 7, 14
35	173, 194, 177
36	252, 265, 254
37	11, 29, 36
38	8, 16, 32, 21
39	12, 26, 30
40	197, 209, 208
41	69, 85
42	131, 135, 126, 147
43	170, 192, 184
44	172, 175, 176, 188
45	151, 166, 159
46	243, 250, 264, 267
47	99, 102
48	115, 146, 121
49	95, 100
50	214, 233, 224
51	59, 61, 43
52	10, 22, 28
53	41, 48, 44
54	118, 148, 149
55	98, 110, 112, 113
56	223, 230, 238, 236
57	20, 27, 24
58	219, 220, 227
59	119, 130, 136
60	91, 105, 94
61	6, 9, 19, 13
62	52, 60, 46, 55
63	216, 228, 213, 231
64	240, 262, 255
65	178, 190, 171
66	132, 142, 125
67	129, 144
68	193, 195, 181
69	97, 101, 108, 89
70	226, 235, 225, 221
71	40, 45, 56, 42
72	182, 189, 174
73	256, 258, 246, 247
74	248, 249, 245, 266
75	124, 138
76	117, 134
77	154, 160, 150
78	106, 107, 92
79	198, 210, 201
80	120, 141
81	244, 263
82	57, 62
83	140, 143
84	234, 237
