0	219, 220, 227
1	224, 233, 214
2	71, 84, 75, 74
3	259, 260, 242, 251
4	81, 88, 68
5	158, 163, 161
6	17, 37, 15, 38, 4
7	23, 33, 25
8	70, 79, 72
9	11, 29, 36
10	26, 30, 12
11	93, 111
12	96, 103, 104
13	91, 105, 94
14	98, 110, 112, 113
15	76, 83, 87, 64
16	216, 228, 213, 231
17	6, 9, 19, 13
18	170, 192, 184
19	67, 82, 77
20	232, 239, 229
21	119, 130, 136
22	212, 215, 217
23	241, 261, 257, 253
24	180, 186, 183
25	197, 209, 208
26	59, 61, 43
27	211, 218, 222
28	202, 204, 205, 200
29	7, 31, 34, 14
30	252, 254, 265
31	18, 35, 2
32	53, 58, 50, 47
33	3, 5, 1, 39
34	8, 16, 32, 21
35	196, 199, 206
36	172, 176, 188, 175
37	69, 85
38	137, 145, 139
39	41, 48, 44
40	109, 114, 90
41	152, 162, 165
42	10, 22, 28
43	118, 148, 149
44	122, 123, 127
45	156, 157, 168
46	95, 100
47	49, 51, 63, 54
48	131, 135, 126, 147
49	185, 191, 187, 179
50	66, 73, 80
51	78, 86, 65
52	203, 207
53	173, 194, 177
54	153, 164, 169
55	155, 167
56	230, 236, 238, 223
57	151, 166, 159
58	52, 60, 46, 55
59	116, 133, 128
60	20, 27, 24
61	250, 264, 243, 267
62	99, 102
63	115, 146, 121
64	132, 142, 125
65	226, 235, 225, 221
66	97, 101, 108, 89
67	178, 190, 171
68	240, 262, 255
69	117, 134
70	248, 249, 245, 266
71	174, 182, 189
72	256, 258, 246, 247
73	40, 45, 56, 42
74	124, 138
75	181, 195, 193
76	129, 144
77	92, 107, 106
78	154, 160, 150
79	198, 210, 201
80	244, 263
81	57, 62
82	120, 141
83	140, 143
84	234, 237
