37, 109
27, 84
107, 260
44, 130
6, 127
94, 111
87, 265
184, 244
139, 199
72, 121
188, 261
83, 199
24, 93
13, 248
67, 109
16, 90
187, 243
91, 154
165, 226
188, 202
31, 137
22, 87
48, 124
1, 28
13, 187
210, 248
108, 116
54, 211
131, 186
24, 88
171, 229
87, 134
51, 237
130, 212
140, 261
120, 250
90, 97
1, 68
111, 147
82, 160
94, 225
41, 256
151, 183
18, 158
20, 34
126, 165
90, 98
204, 210
73, 184
11, 138
2, 200
21, 148
87, 89
119, 136
113, 161
109, 229
183, 220
18, 62
28, 61
7, 258
134, 146
3, 265
40, 102
150, 231
38, 263
143, 246
7, 88
89, 264
134, 202
60, 95
117, 161
252, 267
97, 108
23, 235
41, 127
25, 81
133, 141
143, 158
43, 64
91, 115
98, 146
124, 158
80, 125
119, 247
62, 166
31, 181
30, 107
133, 187
156, 213
121, 245
67, 125
86, 163
46, 207
5, 267
164, 251
22, 43
207, 234
9, 111
156, 170
6, 31
