87, 123
91, 249
40, 123
168, 177
128, 184
71, 225
154, 203
126, 185
186, 222
119, 128
85, 167
40, 148
40, 208
202, 252
56, 259
31, 211
3, 100
40, 232
74, 167
29, 105
42, 207
168, 188
20, 174
180, 214
137, 146
84, 218
35, 181
87, 207
61, 165
26, 158
40, 77
53, 175
43, 140
39, 146
94, 128
9, 138
24, 77
114, 260
27, 123
146, 251
31, 155
89, 192
28, 151
86, 124
18, 192
154, 201
54, 185
134, 140
148, 231
218, 252
87, 102
180, 186
70, 228
14, 149
165, 166
70, 155
215, 222
128, 158
97, 248
72, 111
107, 166
69, 192
102, 207
218, 221
101, 145
105, 209
193, 258
20, 67
15, 170
129, 137
158, 184
115, 196
64, 218
105, 155
47, 234
29, 192
43, 90
22, 250
11, 21
101, 201
130, 182
111, 252
124, 176
8, 49
66, 225
148, 187
100, 117
49, 105
85, 88
126, 189
120, 209
6, 20
99, 119
35, 169
5, 203
85, 180
167, 181
36, 81
163, 174
66, 160
