0	211, 222, 218
1	204, 205, 202, 200
2	185, 191, 187, 179
3	180, 183, 186
4	151, 166, 159
5	116, 133, 128
6	232, 239, 229
7	52, 60, 46, 55
8	6, 9, 19, 13
9	259, 260, 242, 251
10	10, 22, 28
11	78, 86, 65
12	71, 74, 75, 84
13	176, 188, 172, 175
14	4, 38, 17, 15, 37
15	91, 105, 94
16	7, 31, 34, 14
17	68, 81, 88
18	162, 165, 152
19	212, 215, 217
20	99, 102
21	66, 73, 80
22	8, 16, 32, 21
23	1, 5, 3, 39
24	64, 87, 83, 76
25	26, 30, 12
26	170, 192, 184
27	49, 51, 63, 54
28	11, 29, 36
29	216, 228, 213, 231
30	67, 82, 77
31	25, 33, 23
32	252, 254, 265
33	69, 85
34	112, 113, 110, 98
35	214, 224, 233
36	96, 103, 104
37	18, 35, 2
38	250, 264, 243, 267
39	223, 230, 238, 236
40	219, 220, 227
41	109, 114, 90
42	118, 148, 149
43	155, 167
44	95, 100
45	59, 61, 43
46	197, 209, 208
47	70, 79, 72
48	137, 139, 145
49	50, 58, 53, 47
50	241, 261, 257, 253
51	164, 169, 153
52	115, 146, 121
53	158, 163, 161
54	20, 27, 24
55	131, 135, 147, 126
56	196, 199, 206
57	93, 111
58	173, 194, 177
59	119, 130, 136
60	41, 48, 44
61	156, 157, 168
62	122, 123, 127
63	203, 207
64	42, 45, 40, 56
65	248, 249, 245, 266
66	256, 258, 246, 247
67	89, 97, 108, 101
68	193, 195, 181
69	182, 189, 174
70	226, 235, 225, 221
71	178, 190, 171
72	124, 138
73	255, 262, 240
74	132, 142, 125
75	117, 134
76	129, 144
77	198, 210, 201
78	154, 160, 150
79	92, 107, 106
80	57, 62
81	140, 143
82	120, 141
83	244, 263
84	234, 237
